event_id,timestamp,citizen_id,cam_id,event_type,flagged,severity,duration_seconds
EVT-202603-000022,2026-03-16T14:41:52,PR-02672,LOC-020,Utilities,N,0,6
EVT-202603-000023,2026-03-02T13:31:50,PR-01807,LOC-013,Smartcard,N,0,1
EVT-202603-000024,2026-03-31T21:35:01,PR-00372,LOC-006,Smartcard,Y,1,2
EVT-202603-000025,2026-03-03T01:00:39,PR-02279,LOC-027,Biometric,N,0,3
EVT-202603-000026,2026-03-12T22:56:13,PR-02983,LOC-021,CCTV-FR,N,0,57
EVT-202603-000027,2026-03-20T23:18:28,PR-02618,LOC-028,ANPR,Y,2,7
EVT-202603-000028,2026-03-08T12:21:53,PR-00754,LOC-022,CCTV-FR,N,0,86
EVT-202603-000029,2026-03-23T19:36:54,PR-01742,LOC-015,CCTV-FR,N,0,72
EVT-202603-000030,2026-03-28T21:48:27,PR-02904,LOC-022,CCTV-FR,N,0,96
EVT-202603-000031,2026-03-26T18:19:21,PR-01841,LOC-009,ANPR,Y,2,3
EVT-202603-000032,2026-03-31T01:56:34,PR-01309,LOC-025,CCTV-FR,N,0,57
EVT-202603-000033,2026-03-24T12:29:33,PR-00834,LOC-021,CCTV-FR,Y,2,40
EVT-202603-000034,2026-03-15T06:23:22,PR-00678,LOC-028,ANPR,N,0,8
EVT-202603-000035,2026-03-27T19:32:28,PR-01881,LOC-017,CCTV-FR,Y,2,49
EVT-202603-000036,2026-03-16T09:26:34,PR-02743,LOC-023,ANPR,N,0,4
EVT-202603-000037,2026-03-27T22:32:17,PR-02376,LOC-028,ANPR,N,0,6
EVT-202603-000038,2026-03-16T05:32:23,PR-01294,LOC-007,CCTV-FR,N,0,146
EVT-202603-000039,2026-03-03T06:19:51,PR-00981,LOC-022,CCTV-FR,Y,2,102
EVT-202603-000040,2026-03-22T06:41:31,PR-00186,LOC-016,CCTV-FR,N,0,88
EVT-202603-000041,2026-03-03T07:41:33,PR-00196,LOC-013,Smartcard,Y,1,5
EVT-202603-000042,2026-03-02T05:32:33,PR-02444,LOC-002,ANPR,N,0,8
EVT-202603-000043,2026-03-18T07:57:55,PR-00809,LOC-007,CCTV-FR,N,0,73
EVT-202603-000044,2026-03-16T19:19:47,PR-00199,LOC-010,Biometric,N,0,7
EVT-202603-000045,2026-03-08T13:23:10,PR-00455,LOC-005,Biometric,N,0,4
EVT-202603-000046,2026-03-08T21:20:31,PR-02511,LOC-007,CCTV-FR,N,0,115
EVT-202603-000047,2026-03-10T11:53:34,PR-01046,LOC-029,Biometric,Y,2,8
EVT-202603-000048,2026-03-08T15:50:28,PR-01099,LOC-006,Smartcard,N,0,5
EVT-202603-000049,2026-03-07T08:21:13,PR-00961,LOC-019,Geolocation,Y,2,95
EVT-202603-000050,2026-03-09T12:59:34,PR-00417,LOC-019,Geolocation,N,0,119
EVT-202603-000051,2026-03-08T19:22:59,PR-02820,LOC-004,Biometric,Y,2,6
EVT-202603-000052,2026-03-07T13:25:22,PR-01098,LOC-007,CCTV-FR,N,0,133
EVT-202603-000053,2026-03-23T07:10:47,PR-02619,LOC-020,Utilities,N,0,7
EVT-202603-000054,2026-03-29T20:11:06,PR-01772,LOC-015,CCTV-FR,N,0,81
EVT-202603-000055,2026-03-31T17:59:21,PR-02783,LOC-014,CCTV-FR,N,0,137
EVT-202603-000056,2026-03-10T14:21:35,PR-01055,LOC-007,CCTV-FR,N,0,141
EVT-202603-000057,2026-03-21T13:04:02,PR-00201,LOC-017,CCTV-FR,N,0,120
EVT-202603-000058,2026-03-21T22:20:52,PR-00621,LOC-014,CCTV-FR,N,0,38
EVT-202603-000059,2026-03-24T08:25:45,PR-02064,LOC-028,ANPR,Y,2,6
EVT-202603-000060,2026-03-01T11:05:00,PR-00334,LOC-024,ANPR,N,0,7
EVT-202603-000061,2026-03-18T12:59:40,PR-02655,LOC-017,CCTV-FR,N,0,113
EVT-202603-000062,2026-03-29T20:08:10,PR-01005,LOC-017,CCTV-FR,N,0,92
EVT-202603-000063,2026-03-31T18:38:51,PR-02743,LOC-026,Smartcard,N,0,4
EVT-202603-000064,2026-03-04T04:39:41,PR-00862,LOC-027,Biometric,N,0,4
EVT-202603-000065,2026-03-26T23:22:11,PR-00495,LOC-029,Biometric,N,0,1
EVT-202603-000066,2026-03-11T02:27:50,PR-02700,LOC-001,ANPR,N,0,6
EVT-202603-000067,2026-03-07T09:51:14,PR-00591,LOC-027,Biometric,Y,1,6
EVT-202603-000068,2026-03-29T19:39:53,PR-01865,LOC-010,Biometric,N,0,2
EVT-202603-000069,2026-03-10T21:32:19,PR-01719,LOC-027,Biometric,N,0,7
EVT-202603-000070,2026-03-24T07:44:51,PR-00764,LOC-009,ANPR,Y,4,6
EVT-202603-000071,2026-03-03T08:27:11,PR-00757,LOC-003,CCTV-FR,N,0,147
EVT-202603-000072,2026-03-05T16:01:43,PR-01362,LOC-004,Biometric,N,0,5
EVT-202603-000073,2026-03-01T10:43:48,PR-02506,LOC-007,CCTV-FR,N,0,71
EVT-202603-000074,2026-03-01T18:19:26,PR-00251,LOC-021,CCTV-FR,N,0,135
EVT-202603-000075,2026-03-03T09:20:29,PR-00065,LOC-004,Biometric,N,0,4
EVT-202603-000076,2026-03-11T21:04:22,PR-00909,LOC-019,Geolocation,N,0,70
EVT-202603-000077,2026-03-14T14:56:32,PR-01753,LOC-001,ANPR,Y,2,2
EVT-202603-000078,2026-03-14T20:22:12,PR-00759,LOC-009,ANPR,N,0,8
EVT-202603-000079,2026-03-27T05:37:48,PR-02955,LOC-024,ANPR,N,0,6
EVT-202603-000080,2026-03-03T10:28:10,PR-01375,LOC-005,Biometric,N,0,4
EVT-202603-000081,2026-03-18T17:37:28,PR-00406,LOC-009,ANPR,N,0,6
EVT-202603-000082,2026-03-04T06:35:36,PR-01541,LOC-009,ANPR,N,0,8
EVT-202603-000083,2026-03-29T18:45:39,PR-01375,LOC-013,Smartcard,N,0,6
EVT-202603-000084,2026-03-20T04:03:09,PR-02904,LOC-013,Smartcard,N,0,4
EVT-202603-000085,2026-03-25T16:28:24,PR-01405,LOC-005,Biometric,N,0,8
EVT-202603-000086,2026-03-14T15:13:41,PR-01348,LOC-013,Smartcard,Y,2,5
EVT-202603-000087,2026-03-04T08:51:29,PR-00512,LOC-015,CCTV-FR,N,0,98
EVT-202603-000088,2026-03-24T22:38:00,PR-01804,LOC-029,Biometric,N,0,6
EVT-202603-000089,2026-03-31T04:01:54,PR-00492,LOC-012,ANPR,N,0,6
EVT-202603-000090,2026-03-08T12:33:26,PR-00134,LOC-017,CCTV-FR,Y,2,135
EVT-202603-000091,2026-03-19T13:16:05,PR-01114,LOC-010,Biometric,N,0,4
EVT-202603-000092,2026-03-29T16:40:40,PR-01503,LOC-022,CCTV-FR,N,0,43
EVT-202603-000093,2026-03-21T12:38:35,PR-00018,LOC-001,ANPR,N,0,2
EVT-202603-000094,2026-03-31T09:20:01,PR-00168,LOC-005,Biometric,N,0,3
EVT-202603-000095,2026-03-13T08:16:36,PR-01195,LOC-018,Geolocation,N,0,152
EVT-202603-000096,2026-03-22T10:06:40,PR-01040,LOC-019,Geolocation,N,0,124
EVT-202603-000097,2026-03-10T01:09:05,PR-01105,LOC-008,ANPR,N,0,1
EVT-202603-000098,2026-03-14T07:57:17,PR-00696,LOC-001,ANPR,N,0,4
EVT-202603-000099,2026-03-10T16:27:12,PR-00693,LOC-008,ANPR,N,0,2
EVT-202603-000100,2026-03-30T05:06:13,PR-01499,LOC-025,CCTV-FR,N,0,108
EVT-202603-000101,2026-03-21T14:54:07,PR-01966,LOC-004,Biometric,N,0,6
EVT-202603-000102,2026-03-26T14:04:15,PR-02533,LOC-001,ANPR,N,0,5
EVT-202603-000103,2026-03-13T16:17:23,PR-01366,LOC-026,Smartcard,N,0,2
EVT-202603-000104,2026-03-30T08:54:32,PR-01762,LOC-006,Smartcard,N,0,4
EVT-202603-000105,2026-03-29T19:49:13,PR-02258,LOC-017,CCTV-FR,N,0,178
EVT-202603-000106,2026-03-23T08:18:36,PR-00170,LOC-021,CCTV-FR,N,0,18
EVT-202603-000107,2026-03-23T19:51:20,PR-02962,LOC-017,CCTV-FR,N,0,29
EVT-202603-000108,2026-03-24T20:32:43,PR-00581,LOC-007,CCTV-FR,N,0,173
EVT-202603-000109,2026-03-08T18:29:38,PR-01605,LOC-015,CCTV-FR,N,0,7
EVT-202603-000110,2026-03-24T00:41:31,PR-02157,LOC-014,CCTV-FR,N,0,75
EVT-202603-000111,2026-03-07T05:47:46,PR-00104,LOC-007,CCTV-FR,N,0,98
EVT-202603-000112,2026-03-06T21:48:21,PR-00804,LOC-004,Biometric,N,0,2
EVT-202603-000113,2026-03-15T14:27:38,PR-02735,LOC-025,CCTV-FR,N,0,172
EVT-202603-000114,2026-03-16T21:07:59,PR-01666,LOC-028,ANPR,N,0,1
EVT-202603-000115,2026-03-12T21:03:33,PR-02266,LOC-018,Geolocation,N,0,40
EVT-202603-000116,2026-03-04T04:49:32,PR-01132,LOC-002,ANPR,Y,1,6
EVT-202603-000117,2026-03-03T04:22:32,PR-01200,LOC-005,Biometric,N,0,1
EVT-202603-000118,2026-03-29T14:50:03,PR-01661,LOC-011,Smartcard,N,0,5
EVT-202603-000119,2026-03-12T04:03:37,PR-01093,LOC-024,ANPR,N,0,5
EVT-202603-000120,2026-03-12T09:34:03,PR-02671,LOC-029,Biometric,N,0,1
EVT-202603-000121,2026-03-17T10:05:27,PR-00193,LOC-020,Utilities,N,0,1
EVT-202603-000122,2026-03-25T18:15:21,PR-01304,LOC-005,Biometric,N,0,2
EVT-202603-000123,2026-03-29T07:28:50,PR-00092,LOC-015,CCTV-FR,Y,2,131
EVT-202603-000124,2026-03-12T14:16:24,PR-00522,LOC-006,Smartcard,N,0,5
EVT-202603-000125,2026-03-17T01:27:12,PR-02617,LOC-009,ANPR,N,0,5
EVT-202603-000126,2026-03-13T16:02:10,PR-01212,LOC-024,ANPR,N,0,1
EVT-202603-000127,2026-03-06T13:59:58,PR-02002,LOC-001,ANPR,N,0,3
EVT-202603-000128,2026-03-28T17:48:00,PR-00302,LOC-017,CCTV-FR,N,0,135
EVT-202603-000129,2026-03-28T19:58:31,PR-01881,LOC-001,ANPR,Y,2,3
EVT-202603-000130,2026-03-27T17:44:05,PR-01197,LOC-024,ANPR,N,0,5
EVT-202603-000131,2026-03-03T03:25:48,PR-01157,LOC-004,Biometric,N,0,7
EVT-202603-000132,2026-03-28T18:55:17,PR-01025,LOC-021,CCTV-FR,N,0,149
EVT-202603-000133,2026-03-16T21:02:38,PR-02752,LOC-028,ANPR,N,0,5
EVT-202603-000134,2026-03-11T08:23:39,PR-02359,LOC-013,Smartcard,N,0,1
EVT-202603-000135,2026-03-28T16:01:31,PR-02666,LOC-022,CCTV-FR,N,0,12
EVT-202603-000136,2026-03-21T06:17:33,PR-00378,LOC-011,Smartcard,N,0,2
EVT-202603-000137,2026-03-08T18:01:39,PR-01512,LOC-017,CCTV-FR,Y,1,30
EVT-202603-000138,2026-03-05T19:01:11,PR-01847,LOC-002,ANPR,N,0,1
EVT-202603-000139,2026-03-08T07:54:08,PR-02780,LOC-004,Biometric,N,0,1
EVT-202603-000140,2026-03-03T18:51:06,PR-02493,LOC-004,Biometric,N,0,4
EVT-202603-000141,2026-03-27T06:51:56,PR-01898,LOC-016,CCTV-FR,N,0,109
EVT-202603-000142,2026-03-03T19:56:18,PR-02862,LOC-016,CCTV-FR,N,0,167
EVT-202603-000143,2026-03-11T13:35:11,PR-01391,LOC-030,Biometric,Y,3,7
EVT-202603-000144,2026-03-18T17:19:56,PR-02496,LOC-002,ANPR,N,0,4
EVT-202603-000145,2026-03-22T11:53:36,PR-00964,LOC-007,CCTV-FR,N,0,40
EVT-202603-000146,2026-03-13T14:48:53,PR-00801,LOC-010,Biometric,N,0,6
EVT-202603-000147,2026-03-18T06:28:31,PR-00897,LOC-025,CCTV-FR,N,0,146
EVT-202603-000148,2026-03-10T01:48:20,PR-01364,LOC-016,CCTV-FR,N,0,49
EVT-202603-000149,2026-03-27T00:51:09,PR-01876,LOC-013,Smartcard,N,0,6
EVT-202603-000150,2026-03-05T18:48:44,PR-01506,LOC-023,ANPR,N,0,1
EVT-202603-000151,2026-03-29T08:51:25,PR-00165,LOC-005,Biometric,Y,1,3
EVT-202603-000152,2026-03-01T08:54:42,PR-01392,LOC-018,Geolocation,N,0,68
EVT-202603-000153,2026-03-24T03:07:00,PR-02322,LOC-012,ANPR,N,0,7
EVT-202603-000154,2026-03-26T04:44:33,PR-01995,LOC-024,ANPR,N,0,5
EVT-202603-000155,2026-03-17T11:24:29,PR-00319,LOC-026,Smartcard,N,0,7
EVT-202603-000156,2026-03-06T23:06:24,PR-02964,LOC-007,CCTV-FR,Y,2,108
EVT-202603-000157,2026-03-28T15:49:11,PR-01449,LOC-021,CCTV-FR,N,0,65
EVT-202603-000158,2026-03-22T06:32:03,PR-01050,LOC-009,ANPR,N,0,5
EVT-202603-000159,2026-03-03T09:38:21,PR-01069,LOC-006,Smartcard,N,0,1
EVT-202603-000160,2026-03-15T19:16:52,PR-01259,LOC-022,CCTV-FR,N,0,120
EVT-202603-000161,2026-03-14T09:19:41,PR-02746,LOC-027,Biometric,Y,3,8
EVT-202603-000162,2026-03-11T16:20:12,PR-02530,LOC-022,CCTV-FR,N,0,99
EVT-202603-000163,2026-03-25T05:50:54,PR-00532,LOC-012,ANPR,N,0,8
EVT-202603-000164,2026-03-14T19:44:18,PR-02938,LOC-003,CCTV-FR,N,0,66
EVT-202603-000165,2026-03-20T17:30:36,PR-00679,LOC-009,ANPR,N,0,4
EVT-202603-000166,2026-03-03T03:48:57,PR-00857,LOC-013,Smartcard,N,0,5
EVT-202603-000167,2026-03-03T22:12:56,PR-01282,LOC-028,ANPR,N,0,1
EVT-202603-000168,2026-03-22T19:49:36,PR-00546,LOC-020,Utilities,Y,1,8
EVT-202603-000169,2026-03-31T19:23:26,PR-00550,LOC-001,ANPR,N,0,6
EVT-202603-000170,2026-03-12T15:59:23,PR-00121,LOC-028,ANPR,N,0,2
EVT-202603-000171,2026-03-16T08:53:08,PR-01070,LOC-019,Geolocation,N,0,17
EVT-202603-000172,2026-03-22T13:17:24,PR-00194,LOC-014,CCTV-FR,N,0,60
EVT-202603-000173,2026-03-13T01:58:29,PR-01797,LOC-027,Biometric,N,0,1
EVT-202603-000174,2026-03-20T09:08:03,PR-01775,LOC-023,ANPR,N,0,3
EVT-202603-000175,2026-03-28T11:50:34,PR-00752,LOC-021,CCTV-FR,N,0,33
EVT-202603-000176,2026-03-18T08:07:24,PR-02562,LOC-008,ANPR,N,0,8
EVT-202603-000177,2026-03-21T09:30:40,PR-02358,LOC-018,Geolocation,N,0,30
EVT-202603-000178,2026-03-16T13:33:07,PR-02286,LOC-002,ANPR,N,0,1
EVT-202603-000179,2026-03-03T00:14:20,PR-02839,LOC-024,ANPR,N,0,2
EVT-202603-000180,2026-03-28T23:40:41,PR-01078,LOC-020,Utilities,N,0,5
EVT-202603-000181,2026-03-29T19:10:12,PR-02986,LOC-029,Biometric,N,0,2
EVT-202603-000182,2026-03-26T20:27:29,PR-00497,LOC-029,Biometric,N,0,5
EVT-202603-000183,2026-03-26T14:13:04,PR-01836,LOC-030,Biometric,N,0,4
EVT-202603-000184,2026-03-30T03:06:30,PR-01097,LOC-023,ANPR,N,0,1
EVT-202603-000185,2026-03-15T04:36:46,PR-00600,LOC-027,Biometric,N,0,6
EVT-202603-000186,2026-03-19T15:15:09,PR-02997,LOC-012,ANPR,N,0,7
EVT-202603-000187,2026-03-16T02:30:41,PR-02249,LOC-028,ANPR,N,0,1
EVT-202603-000188,2026-03-30T08:32:12,PR-00754,LOC-026,Smartcard,N,0,2
EVT-202603-000189,2026-03-27T12:42:04,PR-00580,LOC-002,ANPR,N,0,6
EVT-202603-000190,2026-03-19T23:11:59,PR-02481,LOC-017,CCTV-FR,N,0,54
EVT-202603-000191,2026-03-26T14:55:22,PR-01857,LOC-024,ANPR,N,0,3
EVT-202603-000192,2026-03-28T11:24:22,PR-00789,LOC-028,ANPR,N,0,6
EVT-202603-000193,2026-03-11T03:36:09,PR-00334,LOC-024,ANPR,N,0,6
EVT-202603-000194,2026-03-04T00:26:31,PR-02841,LOC-009,ANPR,N,0,6
EVT-202603-000195,2026-03-17T07:17:24,PR-02121,LOC-025,CCTV-FR,Y,1,137
EVT-202603-000196,2026-03-28T02:04:07,PR-01765,LOC-025,CCTV-FR,N,0,130
EVT-202603-000197,2026-03-06T16:07:11,PR-02287,LOC-001,ANPR,N,0,6
EVT-202603-000198,2026-03-12T01:17:40,PR-01097,LOC-006,Smartcard,N,0,5
EVT-202603-000199,2026-03-22T04:01:17,PR-00551,LOC-014,CCTV-FR,N,0,74
EVT-202603-000200,2026-03-30T01:32:02,PR-02204,LOC-019,Geolocation,N,0,150
EVT-202603-000201,2026-03-15T18:23:12,PR-01241,LOC-024,ANPR,N,0,4
EVT-202603-000202,2026-03-13T13:25:02,PR-00221,LOC-013,Smartcard,N,0,3
EVT-202603-000203,2026-03-24T23:36:08,PR-00947,LOC-014,CCTV-FR,N,0,137
EVT-202603-000204,2026-03-06T01:54:56,PR-00662,LOC-025,CCTV-FR,N,0,47
EVT-202603-000205,2026-03-26T17:03:09,PR-01445,LOC-027,Biometric,N,0,5
EVT-202603-000206,2026-03-31T06:57:01,PR-01754,LOC-018,Geolocation,N,0,86
EVT-202603-000207,2026-03-27T17:39:19,PR-00947,LOC-016,CCTV-FR,N,0,151
EVT-202603-000208,2026-03-26T13:27:32,PR-02153,LOC-027,Biometric,Y,2,7
EVT-202603-000209,2026-03-17T13:50:17,PR-01136,LOC-023,ANPR,N,0,7
EVT-202603-000210,2026-03-25T06:23:10,PR-01281,LOC-019,Geolocation,N,0,134
EVT-202603-000211,2026-03-23T03:55:10,PR-01493,LOC-016,CCTV-FR,Y,1,42
EVT-202603-000212,2026-03-29T00:07:06,PR-02732,LOC-016,CCTV-FR,N,0,166
EVT-202603-000213,2026-03-25T10:28:15,PR-02615,LOC-008,ANPR,N,0,4
EVT-202603-000214,2026-03-29T05:23:48,PR-02446,LOC-008,ANPR,N,0,2
EVT-202603-000215,2026-03-06T15:42:06,PR-02495,LOC-006,Smartcard,N,0,7
EVT-202603-000216,2026-03-28T20:46:58,PR-01932,LOC-027,Biometric,Y,1,6
EVT-202603-000217,2026-03-16T03:49:33,PR-00827,LOC-024,ANPR,Y,2,3
EVT-202603-000218,2026-03-11T07:42:12,PR-00085,LOC-028,ANPR,N,0,8
EVT-202603-000219,2026-03-03T04:33:17,PR-01376,LOC-008,ANPR,N,0,5
EVT-202603-000220,2026-03-03T11:47:40,PR-01006,LOC-008,ANPR,N,0,7
EVT-202603-000221,2026-03-22T08:46:18,PR-01779,LOC-009,ANPR,N,0,1
EVT-202603-000222,2026-03-22T08:11:55,PR-02614,LOC-015,CCTV-FR,Y,2,133
EVT-202603-000223,2026-03-01T01:22:58,PR-02973,LOC-008,ANPR,N,0,3
EVT-202603-000224,2026-03-12T21:32:12,PR-01373,LOC-016,CCTV-FR,N,0,73
EVT-202603-000225,2026-03-26T04:35:45,PR-02480,LOC-022,CCTV-FR,N,0,102
EVT-202603-000226,2026-03-25T17:04:00,PR-01650,LOC-029,Biometric,N,0,4
EVT-202603-000227,2026-03-30T15:51:43,PR-00034,LOC-001,ANPR,N,0,2
EVT-202603-000228,2026-03-06T12:44:22,PR-02290,LOC-028,ANPR,N,0,6
EVT-202603-000229,2026-03-06T03:58:33,PR-00933,LOC-018,Geolocation,N,0,140
EVT-202603-000230,2026-03-25T09:08:39,PR-02304,LOC-014,CCTV-FR,N,0,171
EVT-202603-000231,2026-03-03T08:29:18,PR-00955,LOC-006,Smartcard,N,0,6
EVT-202603-000232,2026-03-10T03:00:39,PR-01042,LOC-019,Geolocation,N,0,96
EVT-202603-000233,2026-03-24T15:42:56,PR-02115,LOC-016,CCTV-FR,N,0,177
EVT-202603-000234,2026-03-16T18:25:51,PR-01782,LOC-017,CCTV-FR,Y,2,16
EVT-202603-000235,2026-03-20T23:13:23,PR-02501,LOC-019,Geolocation,N,0,42
EVT-202603-000236,2026-03-14T04:38:13,PR-01854,LOC-029,Biometric,N,0,8
EVT-202603-000237,2026-03-15T04:50:15,PR-00147,LOC-016,CCTV-FR,N,0,172
EVT-202603-000238,2026-03-28T13:27:37,PR-02546,LOC-024,ANPR,N,0,7
EVT-202603-000239,2026-03-28T18:07:21,PR-00312,LOC-012,ANPR,N,0,4
EVT-202603-000240,2026-03-31T06:01:22,PR-00432,LOC-010,Biometric,N,0,2
EVT-202603-000241,2026-03-29T11:01:23,PR-01582,LOC-001,ANPR,N,0,4
EVT-202603-000242,2026-03-25T16:52:52,PR-01361,LOC-003,CCTV-FR,N,0,131
EVT-202603-000243,2026-03-02T09:42:48,PR-02894,LOC-013,Smartcard,Y,2,3
EVT-202603-000244,2026-03-05T17:48:15,PR-00674,LOC-021,CCTV-FR,N,0,143
EVT-202603-000245,2026-03-01T12:20:22,PR-02595,LOC-001,ANPR,N,0,3
EVT-202603-000246,2026-03-25T16:04:38,PR-01121,LOC-011,Smartcard,N,0,4
EVT-202603-000247,2026-03-04T04:18:10,PR-02311,LOC-013,Smartcard,N,0,3
EVT-202603-000248,2026-03-06T13:06:25,PR-02645,LOC-024,ANPR,N,0,4
EVT-202603-000249,2026-03-12T06:33:49,PR-01626,LOC-002,ANPR,N,0,5
EVT-202603-000250,2026-03-20T20:01:40,PR-02941,LOC-010,Biometric,N,0,5
EVT-202603-000251,2026-03-28T02:14:10,PR-02948,LOC-025,CCTV-FR,N,0,24
EVT-202603-000252,2026-03-12T14:38:21,PR-01461,LOC-008,ANPR,N,0,5
EVT-202603-000253,2026-03-21T11:38:51,PR-02994,LOC-011,Smartcard,Y,2,6
EVT-202603-000254,2026-03-31T23:52:06,PR-02851,LOC-021,CCTV-FR,N,0,80
EVT-202603-000255,2026-03-08T12:57:23,PR-01934,LOC-026,Smartcard,N,0,4
EVT-202603-000256,2026-03-13T10:09:42,PR-00804,LOC-013,Smartcard,Y,1,5
EVT-202603-000257,2026-03-12T20:19:53,PR-01572,LOC-001,ANPR,N,0,2
EVT-202603-000258,2026-03-06T11:40:21,PR-00844,LOC-005,Biometric,N,0,1
EVT-202603-000259,2026-03-02T03:18:43,PR-00201,LOC-004,Biometric,N,0,8
EVT-202603-000260,2026-03-14T08:55:14,PR-02287,LOC-008,ANPR,N,0,3
EVT-202603-000261,2026-03-05T06:09:51,PR-02756,LOC-013,Smartcard,N,0,7
EVT-202603-000262,2026-03-18T23:32:39,PR-02865,LOC-004,Biometric,N,0,7
EVT-202603-000263,2026-03-25T19:49:04,PR-00809,LOC-012,ANPR,Y,1,1
EVT-202603-000264,2026-03-07T03:40:09,PR-01137,LOC-024,ANPR,N,0,1
EVT-202603-000265,2026-03-03T09:03:39,PR-00535,LOC-021,CCTV-FR,N,0,73
EVT-202603-000266,2026-03-26T04:05:16,PR-02408,LOC-023,ANPR,Y,2,1
EVT-202603-000267,2026-03-20T02:50:50,PR-02903,LOC-003,CCTV-FR,N,0,14
EVT-202603-000268,2026-03-05T08:50:34,PR-00674,LOC-029,Biometric,N,0,7
EVT-202603-000269,2026-03-01T09:54:44,PR-01030,LOC-006,Smartcard,N,0,7
EVT-202603-000270,2026-03-22T01:45:11,PR-00494,LOC-001,ANPR,N,0,4
EVT-202603-000271,2026-03-28T01:01:29,PR-02402,LOC-015,CCTV-FR,N,0,69
EVT-202603-000272,2026-03-07T17:42:07,PR-02317,LOC-011,Smartcard,Y,4,7
EVT-202603-000273,2026-03-27T21:22:57,PR-00357,LOC-003,CCTV-FR,Y,4,104
EVT-202603-000274,2026-03-27T11:24:47,PR-01271,LOC-015,CCTV-FR,N,0,25
EVT-202603-000275,2026-03-14T02:05:03,PR-00796,LOC-020,Utilities,N,0,7
EVT-202603-000276,2026-03-27T08:29:14,PR-02589,LOC-025,CCTV-FR,N,0,161
EVT-202603-000277,2026-03-04T21:33:16,PR-00984,LOC-014,CCTV-FR,Y,1,179
EVT-202603-000278,2026-03-24T10:57:17,PR-02184,LOC-021,CCTV-FR,N,0,9
EVT-202603-000279,2026-03-04T02:32:18,PR-00207,LOC-017,CCTV-FR,N,0,82
EVT-202603-000280,2026-03-30T04:50:56,PR-00029,LOC-007,CCTV-FR,Y,4,116
EVT-202603-000281,2026-03-26T23:05:21,PR-01997,LOC-013,Smartcard,N,0,5
EVT-202603-000282,2026-03-22T07:07:41,PR-02514,LOC-008,ANPR,N,0,8
EVT-202603-000283,2026-03-13T07:50:34,PR-00843,LOC-025,CCTV-FR,N,0,75
EVT-202603-000284,2026-03-30T13:41:55,PR-02238,LOC-029,Biometric,N,0,1
EVT-202603-000285,2026-03-30T17:18:19,PR-00295,LOC-017,CCTV-FR,N,0,177
EVT-202603-000286,2026-03-01T22:10:23,PR-02789,LOC-029,Biometric,N,0,5
EVT-202603-000287,2026-03-05T18:23:17,PR-00908,LOC-004,Biometric,N,0,4
EVT-202603-000288,2026-03-06T18:55:19,PR-00156,LOC-012,ANPR,N,0,4
EVT-202603-000289,2026-03-01T12:28:11,PR-02358,LOC-001,ANPR,N,0,3
EVT-202603-000290,2026-03-27T09:50:53,PR-01329,LOC-006,Smartcard,N,0,3
EVT-202603-000291,2026-03-22T02:41:05,PR-00845,LOC-008,ANPR,N,0,8
EVT-202603-000292,2026-03-09T04:07:28,PR-01980,LOC-007,CCTV-FR,N,0,149
EVT-202603-000293,2026-03-19T15:03:55,PR-01865,LOC-028,ANPR,N,0,5
EVT-202603-000294,2026-03-01T10:36:45,PR-02817,LOC-005,Biometric,N,0,5
