search_id,timestamp,citizen_id,category,flagged_category,device_type
SR-0000035,2026-06-30 16:30:00,PR-02509,Recipes,N,Laptop
SR-0000036,2026-06-08 05:52:00,PR-02104,Recipes,N,Laptop
SR-0000037,2026-02-15 18:02:00,PR-00072,Recipes,N,Phone
SR-0000038,2026-03-13 18:46:00,PR-01120,Protest organisation,Y,Phone
SR-0000039,2026-03-07 15:10:00,PR-00426,Foreign news,Y,Laptop
SR-0000040,2026-06-09 07:41:00,PR-01985,Cultural and religious gatherings,Y,Phone
SR-0000041,2026-04-18 18:42:00,PR-00598,Recipes,N,Laptop
SR-0000042,2026-01-07 18:54:00,PR-90004,VPN tools,Y,Skills Institute Terminal
SR-0000043,2026-03-14 22:33:00,PR-00940,Local news,N,Laptop
SR-0000044,2026-01-08 10:34:00,PR-01328,Civic education,N,Phone
SR-0000045,2026-03-28 01:57:00,PR-01807,Local news,N,Phone
SR-0000046,2026-02-20 00:45:00,PR-02105,Entertainment,N,Phone
SR-0000047,2026-04-22 03:38:00,PR-00757,Sports,N,Laptop
SR-0000048,2026-06-20 09:23:00,PR-00775,Sports,N,Skills Institute Terminal
SR-0000049,2026-03-12 05:13:00,PR-02243,Sports,N,Phone
SR-0000050,2026-05-05 19:00:00,PR-02452,Shopping,N,Laptop
SR-0000051,2026-06-17 00:23:00,PR-02180,Local news,N,Laptop
SR-0000052,2026-01-12 23:43:00,PR-02919,Independent media,Y,Phone
SR-0000053,2026-06-12 18:35:00,PR-02205,Health,N,Laptop
SR-0000054,2026-02-03 11:12:00,PR-00124,Entertainment,N,Phone
SR-0000055,2026-06-05 12:21:00,PR-00584,Local news,N,Phone
SR-0000056,2026-04-19 17:39:00,PR-02642,Privacy tools,Y,Phone
SR-0000057,2026-05-08 05:17:00,PR-00574,Independent media,Y,Laptop
SR-0000058,2026-01-06 12:23:00,PR-02883,Sports,N,Phone
SR-0000059,2026-04-21 13:02:00,PR-00989,Shopping,N,Laptop
SR-0000060,2026-04-04 10:50:00,PR-02992,Weather,N,Phone
SR-0000061,2026-01-10 00:58:00,PR-00643,Local news,N,Laptop
SR-0000062,2026-01-24 06:59:00,PR-01665,Score appeal process,Y,Phone
SR-0000063,2026-04-01 12:22:00,PR-01521,Entertainment,N,Phone
SR-0000064,2026-06-11 14:33:00,PR-02976,Civic education,N,Laptop
SR-0000065,2026-05-14 15:06:00,PR-00661,Health,N,Phone
SR-0000066,2026-02-18 12:16:00,PR-01813,Health,N,Phone
SR-0000067,2026-03-02 20:22:00,PR-02899,Entertainment,N,Phone
SR-0000068,2026-04-20 20:09:00,PR-02409,Privacy tools,Y,Laptop
SR-0000069,2026-06-03 18:33:00,PR-00400,Local news,N,Laptop
SR-0000070,2026-05-30 12:59:00,PR-02857,Civic education,N,Phone
SR-0000071,2026-02-21 10:22:00,PR-02384,Sports,N,Phone
SR-0000072,2026-01-20 22:54:00,PR-01065,Local news,N,Public Library Terminal
SR-0000073,2026-05-30 05:48:00,PR-00445,Civic education,N,Skills Institute Terminal
SR-0000074,2026-04-28 03:13:00,PR-01166,Sports,N,Phone
SR-0000075,2026-01-31 02:07:00,PR-01185,Entertainment,N,Laptop
SR-0000076,2026-02-09 03:11:00,PR-02642,Sports,N,Phone
SR-0000077,2026-02-19 13:44:00,PR-02736,Score appeal process,Y,Laptop
SR-0000078,2026-01-02 20:38:00,PR-02907,Shopping,N,Phone
SR-0000079,2026-06-18 08:57:00,PR-00199,Sports,N,Laptop
SR-0000080,2026-02-27 05:16:00,PR-01970,Foreign news,Y,Public Library Terminal
SR-0000081,2026-06-25 23:20:00,PR-01571,Health,N,Public Library Terminal
SR-0000082,2026-05-02 07:31:00,PR-01093,Local news,N,Phone
SR-0000083,2026-04-29 18:11:00,PR-01678,Sports,N,Phone
SR-0000084,2026-06-29 07:53:00,PR-01944,Local news,N,Phone
SR-0000085,2026-03-16 00:06:00,PR-00972,Sports,N,Laptop
SR-0000086,2026-03-11 00:06:00,PR-01456,Entertainment,N,Phone
SR-0000087,2026-03-06 00:30:00,PR-01105,Recipes,N,Phone
SR-0000088,2026-03-06 01:03:00,PR-01630,Local news,N,Phone
SR-0000089,2026-01-31 07:49:00,PR-01062,Sports,N,Skills Institute Terminal
SR-0000090,2026-04-10 05:31:00,PR-01401,Entertainment,N,Skills Institute Terminal
SR-0000091,2026-06-25 13:13:00,PR-00594,Travel domestic (permitted),N,Laptop
SR-0000092,2026-06-01 05:44:00,PR-02962,Health,N,Phone
SR-0000093,2026-03-30 20:42:00,PR-00105,Local news,N,Phone
SR-0000094,2026-01-31 00:06:00,PR-02728,Sports,N,Phone
SR-0000095,2026-06-21 09:21:00,PR-02308,Local news,N,Phone
SR-0000096,2026-04-30 15:22:00,PR-01865,Entertainment,N,Phone
SR-0000097,2026-03-21 17:34:00,PR-02552,Local news,N,Laptop
SR-0000098,2026-03-18 01:56:00,PR-02756,Health,N,Phone
SR-0000099,2026-06-06 02:34:00,PR-01473,Local news,N,Phone
SR-0000100,2026-04-27 07:13:00,PR-01645,Weather,N,Phone
SR-0000101,2026-05-28 05:11:00,PR-02466,Cultural and religious gatherings,Y,Phone
SR-0000102,2026-02-18 07:38:00,PR-00267,Entertainment,N,Skills Institute Terminal
SR-0000103,2026-02-16 01:04:00,PR-01328,Local news,N,Public Library Terminal
SR-0000104,2026-01-07 21:29:00,PR-01993,Entertainment,N,Phone
SR-0000105,2026-04-24 22:18:00,PR-00279,Travel domestic (permitted),N,Phone
SR-0000106,2026-05-22 09:15:00,PR-02863,Entertainment,N,Laptop
SR-0000107,2026-06-04 17:19:00,PR-02614,Local news,N,Phone
SR-0000108,2026-01-28 02:39:00,PR-02127,Shopping,N,Phone
SR-0000109,2026-03-30 02:06:00,PR-00360,Shopping,N,Laptop
SR-0000110,2026-06-18 21:27:00,PR-02891,Emigration procedures,Y,Phone
SR-0000111,2026-04-14 10:13:00,PR-01838,Recipes,N,Laptop
SR-0000112,2026-01-23 21:48:00,PR-01404,Entertainment,N,Phone
SR-0000113,2026-01-12 07:32:00,PR-01975,Civic education,N,Phone
SR-0000114,2026-03-18 01:03:00,PR-01315,Score appeal process,Y,Phone
SR-0000115,2026-04-20 05:19:00,PR-00608,Shopping,N,Skills Institute Terminal
SR-0000116,2026-04-30 16:06:00,PR-02509,Foreign news,Y,Phone
SR-0000117,2026-05-23 18:38:00,PR-02549,Sports,N,Phone
SR-0000118,2026-01-05 12:35:00,PR-01340,Health,N,Phone
SR-0000119,2026-04-06 15:07:00,PR-00364,Entertainment,N,Phone
SR-0000120,2026-05-16 21:48:00,PR-01242,Emigration procedures,Y,Phone
SR-0000121,2026-06-25 21:42:00,PR-01495,Foreign news,Y,Phone
SR-0000122,2026-05-09 09:42:00,PR-00205,Independent media,Y,Laptop
SR-0000123,2026-01-13 17:03:00,PR-02578,Emigration procedures,Y,Phone
SR-0000124,2026-06-24 23:53:00,PR-02257,Shopping,N,Phone
SR-0000125,2026-06-18 02:26:00,PR-02265,Local news,N,Phone
SR-0000126,2026-06-13 02:39:00,PR-02576,Shopping,N,Phone
SR-0000127,2026-02-02 16:30:00,PR-02848,Sports,N,Skills Institute Terminal
SR-0000128,2026-02-17 12:16:00,PR-02552,Entertainment,N,Phone
SR-0000129,2026-03-16 08:22:00,PR-01006,Entertainment,N,Skills Institute Terminal
SR-0000130,2026-05-16 14:59:00,PR-00031,Health,N,Laptop
SR-0000131,2026-02-02 17:56:00,PR-02565,Sports,N,Laptop
SR-0000132,2026-03-24 04:14:00,PR-01564,Sports,N,Phone
SR-0000133,2026-03-22 20:42:00,PR-00782,Local news,N,Public Library Terminal
SR-0000134,2026-02-18 07:48:00,PR-01675,Social credit system criticism,Y,Phone
SR-0000135,2026-06-17 02:39:00,PR-01638,Shopping,N,Phone
SR-0000136,2026-06-24 20:11:00,PR-00202,Health,N,Phone
SR-0000137,2026-03-27 11:19:00,PR-00778,Shopping,N,Phone
SR-0000138,2026-05-16 09:25:00,PR-01326,Shopping,N,Phone
SR-0000139,2026-02-25 08:51:00,PR-01692,Local news,N,Phone
SR-0000140,2026-02-28 19:02:00,PR-02154,Foreign news,Y,Laptop
SR-0000141,2026-04-19 00:13:00,PR-02454,Local news,N,Laptop
SR-0000142,2026-01-09 22:00:00,PR-00774,Entertainment,N,Phone
SR-0000143,2026-03-15 17:07:00,PR-01150,Foreign news,Y,Public Library Terminal
SR-0000144,2026-04-24 23:22:00,PR-00430,VPN tools,Y,Skills Institute Terminal
SR-0000145,2026-04-02 00:15:00,PR-00647,Weather,N,Public Library Terminal
SR-0000146,2026-03-19 10:40:00,PR-01124,Local news,N,Laptop
SR-0000147,2026-02-17 04:48:00,PR-01056,Health,N,Phone
SR-0000148,2026-06-24 14:50:00,PR-00301,Entertainment,N,Phone
SR-0000149,2026-01-25 19:12:00,PR-02351,Entertainment,N,Skills Institute Terminal
SR-0000150,2026-05-07 06:41:00,PR-00441,Local news,N,Phone
SR-0000151,2026-04-18 23:00:00,PR-02968,Independent media,Y,Phone
SR-0000152,2026-04-04 21:32:00,PR-01520,Sports,N,Phone
SR-0000153,2026-01-02 16:30:00,PR-00181,Health,N,Laptop
SR-0000154,2026-06-04 23:16:00,PR-01790,Local news,N,Laptop
SR-0000155,2026-02-03 00:28:00,PR-01862,Encryption software,Y,Phone
SR-0000156,2026-04-17 08:38:00,PR-00521,Emigration procedures,Y,Phone
SR-0000157,2026-03-13 01:42:00,PR-00980,Local news,N,Laptop
SR-0000158,2026-05-15 04:48:00,PR-00447,Protest organisation,Y,Phone
SR-0000159,2026-06-13 00:25:00,PR-02931,Entertainment,N,Phone
SR-0000160,2026-03-09 13:58:00,PR-01362,Local news,N,Phone
SR-0000161,2026-01-14 21:29:00,PR-00571,Travel domestic (permitted),N,Phone
SR-0000162,2026-05-27 03:09:00,PR-00346,Score appeal process,Y,Laptop
SR-0000163,2026-03-14 01:32:00,PR-01850,Shopping,N,Phone
SR-0000164,2026-04-29 17:22:00,PR-01182,VPN tools,Y,Phone
SR-0000165,2026-03-03 04:42:00,PR-00752,Sports,N,Skills Institute Terminal
SR-0000166,2026-05-03 05:22:00,PR-02550,Protest organisation,Y,Phone
SR-0000167,2026-02-12 18:42:00,PR-00313,Sports,N,Phone
SR-0000168,2026-03-28 14:11:00,PR-01622,VPN tools,Y,Laptop
SR-0000169,2026-05-18 17:46:00,PR-02330,Weather,N,Phone
SR-0000170,2026-06-04 23:32:00,PR-01618,Shopping,N,Laptop
SR-0000171,2026-05-15 09:16:00,PR-00103,Local news,N,Skills Institute Terminal
SR-0000172,2026-02-23 08:26:00,PR-00689,Entertainment,N,Phone
SR-0000173,2026-03-03 04:16:00,PR-01690,Sports,N,Phone
SR-0000174,2026-01-01 01:22:00,PR-01730,Shopping,N,Phone
SR-0000175,2026-02-19 05:08:00,PR-01892,Health,N,Phone
SR-0000176,2026-05-05 19:47:00,PR-00300,Privacy tools,Y,Phone
SR-0000177,2026-01-22 15:16:00,PR-01019,Entertainment,N,Laptop
SR-0000178,2026-05-24 18:59:00,PR-02384,Civic education,N,Laptop
SR-0000179,2026-06-19 15:39:00,PR-01865,Local news,N,Laptop
SR-0000180,2026-06-10 15:09:00,PR-01795,Sports,N,Phone
SR-0000181,2026-03-19 08:51:00,PR-02250,VPN tools,Y,Phone
SR-0000182,2026-04-12 09:57:00,PR-00670,Foreign news,Y,Phone
SR-0000183,2026-03-09 19:11:00,PR-02601,Sports,N,Phone
SR-0000184,2026-02-15 21:49:00,PR-00966,VPN tools,Y,Laptop
SR-0000185,2026-02-25 00:26:00,PR-02028,Civic education,N,Laptop
SR-0000186,2026-04-02 16:07:00,PR-02207,Civic education,N,Laptop
SR-0000187,2026-03-19 23:18:00,PR-01485,Entertainment,N,Phone
SR-0000188,2026-04-07 12:51:00,PR-02460,Recipes,N,Phone
SR-0000189,2026-06-24 20:20:00,PR-01559,Entertainment,N,Phone
SR-0000190,2026-06-23 19:22:00,PR-02647,Health,N,Laptop
SR-0000191,2026-01-26 06:37:00,PR-02235,Recipes,N,Laptop
SR-0000192,2026-03-27 20:04:00,PR-01301,Shopping,N,Phone
SR-0000193,2026-06-19 06:27:00,PR-02115,Weather,N,Laptop
SR-0000194,2026-03-27 21:10:00,PR-00488,Foreign news,Y,Laptop
SR-0000195,2026-03-11 20:26:00,PR-02404,Local news,N,Phone
SR-0000196,2026-03-18 05:01:00,PR-02543,Sports,N,Phone
SR-0000197,2026-02-27 22:05:00,PR-00230,Health,N,Laptop
SR-0000198,2026-04-05 17:51:00,PR-00382,Local news,N,Phone
SR-0000199,2026-05-08 07:37:00,PR-01444,Score appeal process,Y,Laptop
SR-0000200,2026-05-16 13:27:00,PR-01817,Local news,N,Phone
SR-0000201,2026-06-26 17:30:00,PR-01048,Local news,N,Laptop
SR-0000202,2026-05-18 06:35:00,PR-01640,Recipes,N,Laptop
SR-0000203,2026-01-31 15:58:00,PR-00472,Local news,N,Laptop
SR-0000204,2026-02-05 22:42:00,PR-02283,Social credit system criticism,Y,Phone
SR-0000205,2026-01-10 05:02:00,PR-00095,Score appeal process,Y,Public Library Terminal
SR-0000206,2026-03-08 18:16:00,PR-02249,Local news,N,Phone
SR-0000207,2026-03-13 05:16:00,PR-02053,Emigration procedures,Y,Phone
SR-0000208,2026-01-20 17:18:00,PR-00751,Local news,N,Phone
SR-0000209,2026-04-23 13:06:00,PR-00637,Recipes,N,Phone
SR-0000210,2026-06-27 12:22:00,PR-00040,Independent media,Y,Phone
SR-0000211,2026-02-14 17:07:00,PR-02566,Health,N,Phone
SR-0000212,2026-03-11 17:24:00,PR-00067,Entertainment,N,Laptop
SR-0000213,2026-02-04 00:01:00,PR-00262,Entertainment,N,Phone
SR-0000214,2026-05-02 23:42:00,PR-02393,Local news,N,Phone
SR-0000215,2026-06-24 13:00:00,PR-00991,Entertainment,N,Laptop
SR-0000216,2026-02-05 20:52:00,PR-01940,Local news,N,Laptop
SR-0000217,2026-03-09 11:02:00,PR-01067,Entertainment,N,Phone
SR-0000218,2026-04-18 14:25:00,PR-02333,Foreign news,Y,Phone
SR-0000219,2026-04-18 12:53:00,PR-01805,Protest organisation,Y,Laptop
SR-0000220,2026-06-22 21:50:00,PR-00964,Cultural and religious gatherings,Y,Phone
SR-0000221,2026-06-05 18:51:00,PR-01921,Protest organisation,Y,Phone
SR-0000222,2026-06-07 04:36:00,PR-01124,Sports,N,Laptop
SR-0000223,2026-06-21 07:20:00,PR-02791,Foreign news,Y,Laptop
SR-0000224,2026-02-04 03:32:00,PR-02060,Entertainment,N,Laptop
SR-0000225,2026-05-14 01:16:00,PR-00912,Local news,N,Phone
SR-0000226,2026-01-11 21:26:00,PR-00105,Score appeal process,Y,Phone
SR-0000227,2026-05-29 12:57:00,PR-00813,Travel domestic (permitted),N,Phone
SR-0000228,2026-06-08 08:50:00,PR-00720,Independent media,Y,Public Library Terminal
SR-0000229,2026-04-23 17:39:00,PR-01938,Entertainment,N,Skills Institute Terminal
SR-0000230,2026-03-03 16:29:00,PR-01786,Local news,N,Public Library Terminal
SR-0000231,2026-04-18 21:32:00,PR-02521,Local news,N,Laptop
SR-0000232,2026-04-14 05:07:00,PR-02982,Weather,N,Laptop
SR-0000233,2026-03-26 07:09:00,PR-00897,Entertainment,N,Public Library Terminal
SR-0000234,2026-04-11 04:51:00,PR-02701,Foreign news,Y,Phone
SR-0000235,2026-01-30 18:47:00,PR-01526,Travel domestic (permitted),N,Phone
SR-0000236,2026-02-15 06:46:00,PR-01682,Health,N,Laptop
SR-0000237,2026-01-14 07:53:00,PR-01410,Foreign news,Y,Skills Institute Terminal
SR-0000238,2026-06-09 04:14:00,PR-02277,Sports,N,Laptop
SR-0000239,2026-03-13 22:35:00,PR-00488,Travel domestic (permitted),N,Phone
SR-0000240,2026-02-09 01:57:00,PR-02333,Cultural and religious gatherings,Y,Phone
SR-0000241,2026-01-16 11:12:00,PR-01521,Local news,N,Phone
SR-0000242,2026-03-16 08:45:00,PR-02629,Privacy tools,Y,Skills Institute Terminal
SR-0000243,2026-04-23 09:37:00,PR-02179,Shopping,N,Phone
SR-0000244,2026-01-08 10:42:00,PR-02466,Local news,N,Phone
SR-0000245,2026-06-19 15:29:00,PR-01395,Entertainment,N,Phone
SR-0000246,2026-01-21 22:09:00,PR-00164,Independent media,Y,Phone
SR-0000247,2026-06-28 00:45:00,PR-01718,Score appeal process,Y,Public Library Terminal
SR-0000248,2026-05-12 05:55:00,PR-02777,Shopping,N,Laptop
SR-0000249,2026-05-02 23:47:00,PR-01701,Encryption software,Y,Phone
SR-0000250,2026-05-26 21:31:00,PR-02787,Entertainment,N,Laptop
SR-0000251,2026-05-18 05:37:00,PR-02122,Local news,N,Laptop
SR-0000252,2026-02-09 02:57:00,PR-01872,Civic education,N,Phone
SR-0000253,2026-03-30 03:55:00,PR-00503,Sports,N,Phone
SR-0000254,2026-03-04 18:26:00,PR-02061,Entertainment,N,Phone
SR-0000255,2026-02-06 11:49:00,PR-01870,Sports,N,Laptop
SR-0000256,2026-02-18 00:28:00,PR-01373,Entertainment,N,Public Library Terminal
SR-0000257,2026-01-14 15:20:00,PR-02309,Sports,N,Phone
SR-0000258,2026-04-24 18:53:00,PR-01469,Travel domestic (permitted),N,Skills Institute Terminal
SR-0000259,2026-02-05 16:53:00,PR-01251,VPN tools,Y,Phone
SR-0000260,2026-05-28 17:53:00,PR-02720,Local news,N,Phone
SR-0000261,2026-05-15 18:52:00,PR-02424,Health,N,Phone
SR-0000262,2026-05-17 19:28:00,PR-00560,Health,N,Laptop
SR-0000263,2026-04-03 03:22:00,PR-00982,Local news,N,Public Library Terminal
SR-0000264,2026-06-30 08:59:00,PR-02235,Weather,N,Laptop
SR-0000265,2026-06-14 11:29:00,PR-00653,Local news,N,Laptop
SR-0000266,2026-01-13 15:12:00,PR-00318,Entertainment,N,Phone
SR-0000267,2026-01-27 19:48:00,PR-01638,Social credit system criticism,Y,Phone
SR-0000268,2026-03-13 05:59:00,PR-01342,Civic education,N,Laptop
SR-0000269,2026-03-31 14:23:00,PR-01864,Entertainment,N,Laptop
SR-0000270,2026-04-27 00:31:00,PR-01514,Sports,N,Phone
SR-0000271,2026-04-10 03:57:00,PR-02683,Entertainment,N,Phone
SR-0000272,2026-05-04 13:32:00,PR-02902,Local news,N,Phone
SR-0000273,2026-04-30 06:03:00,PR-01906,Sports,N,Laptop
SR-0000274,2026-04-07 09:32:00,PR-01480,Health,N,Phone
SR-0000275,2026-02-18 20:13:00,PR-00107,Sports,N,Phone
SR-0000276,2026-06-30 06:13:00,PR-00151,Local news,N,Laptop
SR-0000277,2026-06-17 12:31:00,PR-00594,Sports,N,Phone
SR-0000278,2026-02-17 03:44:00,PR-00798,Privacy tools,Y,Phone
SR-0000279,2026-06-08 12:09:00,PR-00672,Health,N,Laptop
SR-0000280,2026-03-04 11:09:00,PR-02477,Shopping,N,Phone
SR-0000281,2026-06-08 09:49:00,PR-02760,Social credit system criticism,Y,Phone
SR-0000282,2026-04-29 13:50:00,PR-00409,Independent media,Y,Phone
SR-0000283,2026-02-15 23:38:00,PR-01898,Banned political parties,Y,Phone
SR-0000284,2026-01-04 15:30:00,PR-01144,Foreign news,Y,Public Library Terminal
SR-0000285,2026-01-13 12:49:00,PR-00863,Travel domestic (permitted),N,Phone
SR-0000286,2026-02-09 05:42:00,PR-01740,Entertainment,N,Phone
SR-0000287,2026-03-02 10:10:00,PR-01510,Shopping,N,Phone
SR-0000288,2026-01-25 02:39:00,PR-01151,VPN tools,Y,Laptop
SR-0000289,2026-06-06 20:11:00,PR-01863,Shopping,N,Phone
SR-0000290,2026-06-08 14:35:00,PR-01916,Privacy tools,Y,Phone
SR-0000291,2026-06-18 00:53:00,PR-00021,Foreign news,Y,Laptop
SR-0000292,2026-03-12 22:16:00,PR-02740,Local news,N,Skills Institute Terminal
SR-0000293,2026-03-31 19:36:00,PR-02255,Sports,N,Public Library Terminal
SR-0000294,2026-04-08 10:57:00,PR-02490,Shopping,N,Laptop
SR-0000295,2026-05-05 10:36:00,PR-02598,Entertainment,N,Phone
SR-0000296,2026-03-12 18:41:00,PR-00673,Entertainment,N,Skills Institute Terminal
SR-0000297,2026-05-09 15:34:00,PR-01070,Travel domestic (permitted),N,Skills Institute Terminal
SR-0000298,2026-03-05 20:16:00,PR-00570,Sports,N,Phone
SR-0000299,2026-03-27 03:30:00,PR-01837,Recipes,N,Laptop
SR-0000300,2026-05-07 22:05:00,PR-01106,Social credit system criticism,Y,Laptop
SR-0000301,2026-02-06 14:31:00,PR-02539,Local news,N,Phone
SR-0000302,2026-04-28 11:57:00,PR-01885,Recipes,N,Phone
SR-0000303,2026-01-04 23:10:00,PR-00452,Local news,N,Laptop
SR-0000304,2026-05-04 15:03:00,PR-02895,Local news,N,Phone
SR-0000305,2026-03-16 11:38:00,PR-01064,Sports,N,Public Library Terminal
SR-0000306,2026-02-25 04:16:00,PR-00542,Banned political parties,Y,Laptop
SR-0000307,2026-02-12 01:48:00,PR-02747,Sports,N,Phone
SR-0000308,2026-01-14 10:58:00,PR-00473,Encryption software,Y,Public Library Terminal
SR-0000309,2026-02-25 16:08:00,PR-01810,Shopping,N,Skills Institute Terminal
SR-0000310,2026-01-20 08:35:00,PR-02702,Health,N,Phone
SR-0000311,2026-02-20 10:09:00,PR-01845,Sports,N,Phone
SR-0000312,2026-02-14 04:43:00,PR-02182,Local news,N,Phone
SR-0000313,2026-01-15 20:56:00,PR-02509,Sports,N,Phone
SR-0000314,2026-02-09 05:33:00,PR-02116,Local news,N,Phone
SR-0000315,2026-04-28 07:40:00,PR-00581,Encryption software,Y,Phone
SR-0000316,2026-06-29 13:35:00,PR-00422,Entertainment,N,Skills Institute Terminal
SR-0000317,2026-06-21 11:37:00,PR-01805,Health,N,Laptop
SR-0000318,2026-04-22 17:30:00,PR-02326,Shopping,N,Laptop
SR-0000319,2026-06-03 06:50:00,PR-00094,Recipes,N,Laptop
SR-0000320,2026-03-15 03:49:00,PR-01764,Score appeal process,Y,Phone
SR-0000321,2026-04-28 05:29:00,PR-00204,Foreign news,Y,Laptop
SR-0000322,2026-01-02 20:56:00,PR-00087,VPN tools,Y,Phone
SR-0000323,2026-01-03 19:22:00,PR-02810,Recipes,N,Laptop
SR-0000324,2026-05-06 02:55:00,PR-00386,Recipes,N,Laptop
SR-0000325,2026-02-19 07:19:00,PR-02909,Entertainment,N,Laptop
SR-0000326,2026-02-05 21:50:00,PR-02479,Shopping,N,Laptop
SR-0000327,2026-01-30 18:21:00,PR-01243,Emigration procedures,Y,Phone
SR-0000328,2026-01-22 17:08:00,PR-00833,Recipes,N,Phone
SR-0000329,2026-02-04 12:02:00,PR-00248,Entertainment,N,Laptop
SR-0000330,2026-02-11 21:34:00,PR-00730,Local news,N,Phone
SR-0000331,2026-06-18 03:14:00,PR-01217,Local news,N,Phone
SR-0000332,2026-02-08 15:51:00,PR-01763,Health,N,Phone
SR-0000333,2026-04-21 21:19:00,PR-02003,Shopping,N,Skills Institute Terminal
SR-0000334,2026-02-13 04:35:00,PR-00091,Shopping,N,Laptop
SR-0000335,2026-06-05 19:52:00,PR-01746,Local news,N,Laptop
SR-0000336,2026-05-29 18:28:00,PR-01360,Foreign news,Y,Phone
SR-0000337,2026-03-07 01:31:00,PR-01533,Local news,N,Laptop
SR-0000338,2026-04-09 16:31:00,PR-01033,Local news,N,Phone
SR-0000339,2026-01-20 01:34:00,PR-02708,Local news,N,Phone
SR-0000340,2026-03-06 22:00:00,PR-01497,Emigration procedures,Y,Phone
SR-0000341,2026-03-10 08:45:00,PR-00475,Shopping,N,Laptop
SR-0000342,2026-01-21 04:05:00,PR-00927,Local news,N,Public Library Terminal
SR-0000343,2026-03-30 17:29:00,PR-01001,Sports,N,Phone
SR-0000344,2026-06-07 22:51:00,PR-00285,Shopping,N,Phone
SR-0000345,2026-06-06 02:54:00,PR-01695,Sports,N,Phone
SR-0000346,2026-04-11 15:04:00,PR-02369,Local news,N,Public Library Terminal
SR-0000347,2026-03-30 18:42:00,PR-01165,Entertainment,N,Laptop
SR-0000348,2026-02-17 05:49:00,PR-02984,Entertainment,N,Phone
SR-0000349,2026-02-03 23:55:00,PR-00523,Entertainment,N,Laptop
SR-0000350,2026-06-13 00:33:00,PR-01768,Health,N,Public Library Terminal
SR-0000351,2026-06-11 19:33:00,PR-01088,Entertainment,N,Laptop
SR-0000352,2026-03-04 15:45:00,PR-01608,Local news,N,Phone
SR-0000353,2026-05-07 11:17:00,PR-02994,Recipes,N,Phone
SR-0000354,2026-01-20 19:24:00,PR-02799,Sports,N,Phone
SR-0000355,2026-02-06 04:53:00,PR-00441,Weather,N,Phone
SR-0000356,2026-01-26 07:34:00,PR-01628,Score appeal process,Y,Phone
SR-0000357,2026-06-20 14:18:00,PR-01391,Score appeal process,Y,Laptop
SR-0000358,2026-06-05 16:55:00,PR-02057,Sports,N,Phone
SR-0000359,2026-04-30 03:10:00,PR-01797,Sports,N,Phone
SR-0000360,2026-04-05 15:51:00,PR-00032,Health,N,Phone
