change_id,change_date,citizen_id,reason_code,score_delta,recorded_by_officer_id
CH-0000047,2026-02-11,PR-02352,SC-012,-13,OFC-102
CH-0000048,2026-01-31,PR-00308,SC-012,-16,OFC-246
CH-0000049,2026-03-22,PR-02790,HE-050,8,OFC-171
CH-0000050,2026-04-16,PR-02253,CV-002,-27,OFC-148
CH-0000051,2026-02-04,PR-00147,FN-040,1,OFC-143
CH-0000052,2026-04-19,PR-01152,EM-030,13,OFC-247
CH-0000053,2026-02-26,PR-01555,AP-081,-4,OFC-195
CH-0000054,2026-05-04,PR-00617,CL-090,-13,OFC-225
CH-0000055,2026-02-24,PR-01743,FN-041,-10,OFC-152
CH-0000056,2026-05-29,PR-01128,SR-100,-55,OFC-101
CH-0000057,2026-02-28,PR-02936,EM-030,13,OFC-217
CH-0000058,2026-06-16,PR-01340,CV-002,-28,OFC-222
CH-0000059,2026-04-14,PR-00867,SR-101,-41,OFC-226
CH-0000060,2026-05-24,PR-01085,SC-012,-14,OFC-106
CH-0000061,2026-06-07,PR-00171,TR-062,4,OFC-188
CH-0000062,2026-04-02,PR-02213,SC-013,-74,OFC-240
CH-0000063,2026-01-16,PR-02598,SR-101,-37,OFC-208
CH-0000064,2026-02-18,PR-02305,NW-072,-12,OFC-153
CH-0000065,2026-02-13,PR-01175,SR-102,4,OFC-166
CH-0000066,2026-03-31,PR-01488,SC-011,-39,OFC-181
CH-0000067,2026-05-10,PR-00133,SC-012,-13,OFC-131
CH-0000068,2026-04-28,PR-00750,SR-101,-38,OFC-211
CH-0000069,2026-04-26,PR-01307,CV-001,5,OFC-190
CH-0000070,2026-05-16,PR-00847,CV-002,-25,OFC-202
CH-0000071,2026-01-27,PR-01524,FN-041,-9,OFC-196
CH-0000072,2026-01-10,PR-00226,SR-102,10,OFC-110
CH-0000073,2026-04-13,PR-02923,CV-002,-22,OFC-159
CH-0000074,2026-04-22,PR-00994,PR-110,5,OFC-111
CH-0000075,2026-01-15,PR-01390,CV-002,-22,OFC-172
CH-0000076,2026-04-28,PR-02219,CV-020,10,OFC-124
CH-0000077,2026-01-28,PR-00119,PR-111,-29,OFC-147
CH-0000078,2026-01-27,PR-01051,CL-091,18,OFC-141
CH-0000079,2026-05-13,PR-00486,SC-011,-38,OFC-229
CH-0000080,2026-02-12,PR-00475,CV-002,-24,OFC-250
CH-0000081,2026-05-09,PR-02493,AP-080,37,OFC-200
CH-0000082,2026-06-02,PR-01088,SC-010,6,OFC-115
CH-0000083,2026-05-06,PR-02963,SR-100,-58,OFC-245
CH-0000084,2026-04-14,PR-02496,CL-091,18,OFC-225
CH-0000085,2026-06-29,PR-00125,TR-062,6,OFC-121
CH-0000086,2026-01-29,PR-02885,FN-041,-11,OFC-168
CH-0000087,2026-05-20,PR-01391,HE-050,6,OFC-107
CH-0000088,2026-04-29,PR-00128,HE-050,7,OFC-223
CH-0000089,2026-02-17,PR-00466,EM-031,-20,OFC-151
CH-0000090,2026-01-03,PR-02623,SR-102,10,OFC-192
CH-0000091,2026-03-14,PR-01613,SR-101,-35,OFC-166
CH-0000092,2026-01-28,PR-00762,CV-003,-60,OFC-206
CH-0000093,2026-05-31,PR-02722,SC-011,-43,OFC-137
CH-0000094,2026-05-28,PR-00888,AP-081,-3,OFC-176
CH-0000095,2026-04-30,PR-00476,HE-051,-21,OFC-130
CH-0000096,2026-06-07,PR-00861,CV-021,-47,OFC-157
CH-0000097,2026-05-22,PR-01871,EM-031,-22,OFC-117
CH-0000098,2026-03-03,PR-00868,NW-070,16,OFC-174
CH-0000099,2026-03-03,PR-01184,TR-060,0,OFC-199
CH-0000100,2026-02-10,PR-01840,CV-002,-23,OFC-204
CH-0000101,2026-06-18,PR-00095,CV-003,-62,OFC-113
CH-0000102,2026-04-11,PR-02370,FN-040,6,OFC-248
CH-0000103,2026-04-01,PR-01172,CV-001,6,OFC-143
CH-0000104,2026-01-06,PR-01764,SC-013,-72,OFC-124
CH-0000105,2026-06-23,PR-00318,FN-040,2,OFC-243
CH-0000106,2026-01-23,PR-01530,CL-091,21,OFC-239
CH-0000107,2026-02-09,PR-02035,SC-011,-43,OFC-131
CH-0000108,2026-06-08,PR-02512,FN-041,-11,OFC-113
CH-0000109,2026-04-08,PR-01624,SC-013,-73,OFC-137
CH-0000110,2026-03-27,PR-02911,NW-071,-20,OFC-131
CH-0000111,2026-03-30,PR-01533,SC-011,-40,OFC-141
CH-0000112,2026-02-26,PR-00252,CV-002,-22,OFC-205
CH-0000113,2026-06-03,PR-01724,TR-061,-43,OFC-140
CH-0000114,2026-02-25,PR-00762,TR-060,-3,OFC-166
CH-0000115,2026-05-15,PR-01876,PR-111,-27,OFC-142
CH-0000116,2026-05-27,PR-00172,EM-030,9,OFC-231
CH-0000117,2026-03-09,PR-00867,EM-031,-22,OFC-210
CH-0000118,2026-05-03,PR-01009,NW-071,-24,OFC-106
CH-0000119,2026-04-01,PR-00502,NW-071,-25,OFC-191
CH-0000120,2026-02-05,PR-02492,HE-051,-17,OFC-211
CH-0000121,2026-05-06,PR-00261,CV-021,-50,OFC-224
CH-0000122,2026-03-10,PR-00538,CV-001,3,OFC-226
CH-0000123,2026-06-18,PR-02924,TR-061,-43,OFC-146
CH-0000124,2026-01-07,PR-02450,PR-111,-27,OFC-143
CH-0000125,2026-01-10,PR-01332,FN-040,2,OFC-248
CH-0000126,2026-04-15,PR-01191,SR-100,-55,OFC-139
CH-0000127,2026-03-02,PR-02123,SC-013,-73,OFC-250
CH-0000128,2026-02-09,PR-02884,PR-110,0,OFC-155
CH-0000129,2026-06-26,PR-02188,NW-070,18,OFC-165
CH-0000130,2026-03-10,PR-00171,FN-041,-8,OFC-178
CH-0000131,2026-05-27,PR-02253,CV-001,3,OFC-150
CH-0000132,2026-05-01,PR-01772,CV-001,8,OFC-137
CH-0000133,2026-04-28,PR-00627,SC-011,-39,OFC-200
CH-0000134,2026-04-19,PR-00592,TR-060,-3,OFC-124
CH-0000135,2026-02-04,PR-00722,CL-091,17,OFC-115
CH-0000136,2026-03-20,PR-01828,SR-100,-58,OFC-249
CH-0000137,2026-05-23,PR-02338,HE-050,5,OFC-216
CH-0000138,2026-06-18,PR-00159,NW-070,13,OFC-113
CH-0000139,2026-01-17,PR-01714,PR-111,-31,OFC-217
CH-0000140,2026-06-02,PR-00516,CV-020,12,OFC-177
CH-0000141,2026-02-17,PR-00550,FN-040,3,OFC-120
CH-0000142,2026-02-01,PR-02169,SR-101,-35,OFC-237
CH-0000143,2026-02-16,PR-01589,SC-013,-73,OFC-238
CH-0000144,2026-06-15,PR-02529,NW-071,-20,OFC-113
CH-0000145,2026-05-31,PR-00526,AP-081,-4,OFC-133
CH-0000146,2026-01-12,PR-00545,CV-020,15,OFC-238
CH-0000147,2026-02-18,PR-02641,NW-071,-19,OFC-158
CH-0000148,2026-01-07,PR-01665,PR-110,1,OFC-163
CH-0000149,2026-02-09,PR-00756,CV-003,-63,OFC-118
CH-0000150,2026-04-02,PR-00203,TR-060,-3,OFC-138
CH-0000151,2026-05-14,PR-02961,HE-051,-18,OFC-195
CH-0000152,2026-03-11,PR-00784,NW-071,-21,OFC-147
CH-0000153,2026-02-13,PR-00791,CL-090,-9,OFC-208
CH-0000154,2026-06-05,PR-00367,NW-070,17,OFC-213
CH-0000155,2026-02-11,PR-00061,AP-081,-8,OFC-183
CH-0000156,2026-01-01,PR-01688,TR-061,-48,OFC-220
CH-0000157,2026-03-19,PR-02268,AP-081,-8,OFC-152
CH-0000158,2026-02-20,PR-01441,CV-002,-24,OFC-160
CH-0000159,2026-04-15,PR-02816,AP-081,-2,OFC-111
CH-0000160,2026-01-26,PR-00458,TR-062,6,OFC-157
CH-0000161,2026-06-23,PR-01800,EM-031,-18,OFC-181
CH-0000162,2026-02-26,PR-01702,SC-010,11,OFC-204
CH-0000163,2026-02-01,PR-01548,FN-041,-10,OFC-218
CH-0000164,2026-04-01,PR-02883,CL-090,-10,OFC-204
CH-0000165,2026-02-04,PR-02216,NW-072,-12,OFC-229
CH-0000166,2026-03-10,PR-00203,SR-102,10,OFC-239
CH-0000167,2026-04-22,PR-02625,SC-012,-13,OFC-158
CH-0000168,2026-04-11,PR-01422,SC-012,-16,OFC-245
CH-0000169,2026-02-26,PR-01972,CL-090,-11,OFC-156
CH-0000170,2026-05-27,PR-00047,PR-110,3,OFC-105
CH-0000171,2026-02-19,PR-02705,HE-051,-21,OFC-140
CH-0000172,2026-06-02,PR-00439,FN-040,2,OFC-177
CH-0000173,2026-04-30,PR-00234,SC-010,9,OFC-139
CH-0000174,2026-04-12,PR-02066,NW-070,15,OFC-141
CH-0000175,2026-01-03,PR-00076,SC-012,-13,OFC-140
CH-0000176,2026-01-25,PR-00314,CV-001,8,OFC-143
CH-0000177,2026-06-14,PR-02048,EM-031,-23,OFC-200
CH-0000178,2026-01-02,PR-02036,AP-080,35,OFC-171
CH-0000179,2026-06-03,PR-00586,HE-051,-16,OFC-188
CH-0000180,2026-06-29,PR-01742,SC-012,-14,OFC-236
CH-0000181,2026-06-15,PR-02591,CV-020,12,OFC-195
CH-0000182,2026-02-20,PR-00066,CV-020,9,OFC-182
CH-0000183,2026-04-20,PR-01496,NW-070,18,OFC-136
CH-0000184,2026-05-14,PR-00092,HE-051,-16,OFC-230
CH-0000185,2026-03-22,PR-01975,NW-071,-23,OFC-218
CH-0000186,2026-06-29,PR-01968,HE-050,5,OFC-215
CH-0000187,2026-01-12,PR-00766,SC-010,10,OFC-136
CH-0000188,2026-01-01,PR-02856,SR-100,-53,OFC-218
CH-0000189,2026-05-20,PR-01269,CV-003,-60,OFC-173
CH-0000190,2026-03-13,PR-01709,PR-110,0,OFC-143
CH-0000191,2026-05-02,PR-00243,SR-100,-56,OFC-179
CH-0000192,2026-03-10,PR-00200,FN-041,-7,OFC-112
CH-0000193,2026-01-26,PR-00431,FN-040,3,OFC-210
CH-0000194,2026-02-14,PR-02867,FN-040,6,OFC-111
CH-0000195,2026-01-28,PR-01693,NW-071,-24,OFC-127
CH-0000196,2026-04-04,PR-01876,EM-031,-19,OFC-202
CH-0000197,2026-01-10,PR-00182,CV-002,-28,OFC-116
CH-0000198,2026-05-27,PR-00318,SR-100,-58,OFC-169
CH-0000199,2026-06-02,PR-00468,SC-011,-41,OFC-190
CH-0000200,2026-04-25,PR-00530,CV-003,-61,OFC-122
CH-0000201,2026-05-29,PR-01435,CV-021,-52,OFC-239
CH-0000202,2026-04-21,PR-00457,AP-081,-3,OFC-163
CH-0000203,2026-01-03,PR-00231,AP-080,33,OFC-190
CH-0000204,2026-06-21,PR-00257,AP-080,35,OFC-158
CH-0000205,2026-01-20,PR-00980,CV-003,-57,OFC-170
CH-0000206,2026-04-24,PR-01226,TR-060,3,OFC-140
CH-0000207,2026-01-13,PR-02971,CV-001,6,OFC-202
CH-0000208,2026-05-25,PR-00556,FN-040,3,OFC-167
CH-0000209,2026-02-06,PR-00065,NW-072,-13,OFC-115
CH-0000210,2026-03-03,PR-00443,SR-101,-40,OFC-129
CH-0000211,2026-04-18,PR-01128,CV-001,4,OFC-159
CH-0000212,2026-05-20,PR-00361,EM-030,12,OFC-223
CH-0000213,2026-02-05,PR-01603,TR-061,-42,OFC-221
CH-0000214,2026-03-03,PR-02263,NW-072,-7,OFC-197
CH-0000215,2026-03-09,PR-01800,TR-061,-45,OFC-122
CH-0000216,2026-05-05,PR-01740,TR-061,-42,OFC-246
CH-0000217,2026-06-20,PR-01095,EM-031,-17,OFC-207
CH-0000218,2026-04-25,PR-02612,PR-111,-31,OFC-201
CH-0000219,2026-03-24,PR-01602,NW-070,16,OFC-136
CH-0000220,2026-04-08,PR-02713,CV-001,4,OFC-241
CH-0000221,2026-06-10,PR-02312,PR-111,-31,OFC-160
CH-0000222,2026-05-16,PR-00766,SR-101,-36,OFC-198
CH-0000223,2026-06-15,PR-00837,CV-021,-49,OFC-244
CH-0000224,2026-01-24,PR-02882,SC-011,-39,OFC-151
CH-0000225,2026-02-09,PR-02787,PR-110,4,OFC-235
CH-0000226,2026-01-27,PR-01090,EM-030,11,OFC-180
CH-0000227,2026-06-10,PR-02063,TR-061,-44,OFC-114
CH-0000228,2026-06-06,PR-01497,CL-091,20,OFC-140
CH-0000229,2026-04-29,PR-01960,SC-013,-73,OFC-203
CH-0000230,2026-03-24,PR-01301,CV-020,10,OFC-180
CH-0000231,2026-04-24,PR-00743,NW-071,-24,OFC-150
CH-0000232,2026-05-20,PR-02853,NW-070,12,OFC-113
CH-0000233,2026-01-04,PR-00312,AP-080,35,OFC-135
CH-0000234,2026-01-13,PR-00025,SR-100,-54,OFC-220
CH-0000235,2026-04-27,PR-00263,EM-031,-19,OFC-153
CH-0000236,2026-03-04,PR-01538,HE-050,5,OFC-186
CH-0000237,2026-04-21,PR-02726,TR-062,6,OFC-169
CH-0000238,2026-02-06,PR-02107,FN-040,6,OFC-177
CH-0000239,2026-02-10,PR-02677,PR-111,-25,OFC-110
CH-0000240,2026-02-18,PR-01427,SC-013,-73,OFC-117
CH-0000241,2026-05-19,PR-00509,SR-101,-35,OFC-132
CH-0000242,2026-04-15,PR-01897,FN-040,3,OFC-200
CH-0000243,2026-01-05,PR-00342,CV-002,-24,OFC-182
CH-0000244,2026-03-29,PR-00538,SR-102,5,OFC-100
CH-0000245,2026-05-15,PR-02252,SC-010,7,OFC-177
CH-0000246,2026-05-18,PR-02405,TR-061,-44,OFC-137
CH-0000247,2026-01-17,PR-00434,TR-060,-2,OFC-173
CH-0000248,2026-04-28,PR-02868,FN-040,6,OFC-219
CH-0000249,2026-05-25,PR-01265,TR-061,-42,OFC-240
CH-0000250,2026-06-18,PR-02850,SR-100,-54,OFC-197
CH-0000251,2026-02-27,PR-02305,SC-011,-37,OFC-131
CH-0000252,2026-06-06,PR-00953,SR-102,4,OFC-155
CH-0000253,2026-02-20,PR-02379,AP-080,35,OFC-120
CH-0000254,2026-01-28,PR-01224,FN-041,-7,OFC-184
CH-0000255,2026-05-31,PR-02424,SC-012,-17,OFC-122
CH-0000256,2026-06-23,PR-02983,FN-040,2,OFC-127
CH-0000257,2026-05-07,PR-01410,TR-062,5,OFC-121
CH-0000258,2026-06-13,PR-02913,AP-080,33,OFC-116
CH-0000259,2026-06-03,PR-00065,AP-080,36,OFC-115
CH-0000260,2026-01-18,PR-00035,TR-061,-47,OFC-138
CH-0000261,2026-05-14,PR-02223,CL-091,20,OFC-214
CH-0000262,2026-04-23,PR-02001,AP-080,37,OFC-144
CH-0000263,2026-06-23,PR-01365,AP-081,-8,OFC-175
CH-0000264,2026-03-24,PR-02738,EM-031,-20,OFC-192
CH-0000265,2026-04-15,PR-02419,SR-101,-35,OFC-112
CH-0000266,2026-06-16,PR-01674,CL-090,-15,OFC-230
CH-0000267,2026-03-19,PR-01820,SC-012,-16,OFC-106
CH-0000268,2026-04-06,PR-02874,TR-061,-45,OFC-192
CH-0000269,2026-06-25,PR-02048,SR-100,-58,OFC-150
CH-0000270,2026-04-09,PR-01355,NW-072,-7,OFC-214
CH-0000271,2026-03-05,PR-00761,CV-003,-61,OFC-223
CH-0000272,2026-02-05,PR-00526,SC-012,-18,OFC-136
CH-0000273,2026-05-27,PR-01651,AP-080,32,OFC-127
CH-0000274,2026-04-20,PR-00622,CL-090,-9,OFC-146
CH-0000275,2026-03-25,PR-01776,NW-071,-22,OFC-144
CH-0000276,2026-01-31,PR-01698,NW-072,-12,OFC-224
CH-0000277,2026-01-22,PR-02029,HE-050,9,OFC-187
CH-0000278,2026-06-05,PR-02643,CV-020,11,OFC-228
CH-0000279,2026-01-14,PR-01346,SC-010,11,OFC-145
CH-0000280,2026-06-09,PR-01897,SC-013,-72,OFC-154
CH-0000281,2026-04-30,PR-00380,SR-101,-38,OFC-145
CH-0000282,2026-03-04,PR-01346,CV-020,15,OFC-104
CH-0000283,2026-03-16,PR-01386,NW-072,-10,OFC-182
CH-0000284,2026-05-17,PR-02200,CL-090,-15,OFC-245
CH-0000285,2026-02-28,PR-00382,PR-110,3,OFC-132
CH-0000286,2026-01-06,PR-02148,AP-081,-2,OFC-194
CH-0000287,2026-01-25,PR-00877,CL-090,-14,OFC-103
CH-0000288,2026-05-23,PR-01807,HE-051,-15,OFC-199
CH-0000289,2026-02-22,PR-01156,SC-010,9,OFC-190
CH-0000290,2026-04-18,PR-00648,CL-090,-13,OFC-115
CH-0000291,2026-06-07,PR-01137,HE-051,-20,OFC-147
CH-0000292,2026-05-11,PR-02732,AP-081,-6,OFC-126
CH-0000293,2026-02-22,PR-02782,TR-060,3,OFC-116
CH-0000294,2026-06-12,PR-01600,FN-041,-9,OFC-162
CH-0000295,2026-04-25,PR-00453,NW-071,-19,OFC-105
CH-0000296,2026-03-07,PR-00381,FN-040,5,OFC-114
CH-0000297,2026-06-09,PR-01061,CV-003,-62,OFC-183
CH-0000298,2026-02-03,PR-00434,SR-101,-39,OFC-167
CH-0000299,2026-06-03,PR-00304,FN-041,-9,OFC-180
CH-0000300,2026-01-11,PR-00991,FN-040,6,OFC-101
CH-0000301,2026-06-27,PR-01957,AP-081,-7,OFC-190
CH-0000302,2026-04-02,PR-01535,SC-012,-18,OFC-199
CH-0000303,2026-03-15,PR-01689,TR-060,0,OFC-133
CH-0000304,2026-05-02,PR-01223,SC-013,-76,OFC-226
CH-0000305,2026-06-24,PR-01937,NW-072,-7,OFC-163
CH-0000306,2026-04-21,PR-00927,NW-071,-21,OFC-189
CH-0000307,2026-01-23,PR-00294,TR-061,-45,OFC-135
CH-0000308,2026-03-26,PR-01704,SC-011,-42,OFC-196
CH-0000309,2026-06-30,PR-02204,HE-050,7,OFC-100
CH-0000310,2026-04-17,PR-01447,FN-040,1,OFC-101
CH-0000311,2026-01-30,PR-02740,SR-102,5,OFC-146
CH-0000312,2026-04-26,PR-01900,SC-011,-38,OFC-153
CH-0000313,2026-01-25,PR-01844,CL-091,21,OFC-161
CH-0000314,2026-04-01,PR-02068,CV-002,-22,OFC-179
CH-0000315,2026-03-10,PR-02254,CL-090,-15,OFC-150
CH-0000316,2026-04-28,PR-02751,EM-031,-18,OFC-202
CH-0000317,2026-01-02,PR-02154,TR-060,-1,OFC-173
CH-0000318,2026-03-29,PR-01643,SR-102,10,OFC-197
CH-0000319,2026-04-07,PR-02713,SC-013,-77,OFC-161
CH-0000320,2026-04-06,PR-01796,CV-021,-53,OFC-157
CH-0000321,2026-06-06,PR-00091,SR-100,-56,OFC-132
CH-0000322,2026-04-17,PR-00944,CV-003,-57,OFC-174
CH-0000323,2026-03-28,PR-00881,PR-111,-31,OFC-133
CH-0000324,2026-01-02,PR-02110,NW-072,-13,OFC-112
CH-0000325,2026-04-10,PR-02719,SR-102,6,OFC-250
CH-0000326,2026-05-01,PR-00229,PR-111,-27,OFC-108
CH-0000327,2026-06-05,PR-01002,AP-081,-8,OFC-231
CH-0000328,2026-03-26,PR-01901,FN-041,-8,OFC-126
CH-0000329,2026-03-03,PR-00435,SR-102,8,OFC-191
CH-0000330,2026-05-02,PR-01095,TR-060,2,OFC-209
CH-0000331,2026-04-24,PR-02343,SC-012,-15,OFC-154
CH-0000332,2026-05-19,PR-00470,SC-011,-43,OFC-177
CH-0000333,2026-02-10,PR-01975,FN-041,-10,OFC-211
CH-0000334,2026-01-03,PR-02085,HE-051,-18,OFC-160
CH-0000335,2026-03-07,PR-01225,TR-062,2,OFC-166
CH-0000336,2026-04-17,PR-02858,TR-062,4,OFC-145
CH-0000337,2026-06-10,PR-01965,SC-012,-18,OFC-134
CH-0000338,2026-02-19,PR-02443,HE-050,4,OFC-175
CH-0000339,2026-04-29,PR-00269,TR-060,-3,OFC-158
CH-0000340,2026-03-03,PR-02542,CL-091,18,OFC-212
CH-0000341,2026-01-04,PR-00857,CL-091,20,OFC-140
CH-0000342,2026-06-12,PR-00343,FN-041,-11,OFC-106
CH-0000343,2026-03-16,PR-00960,SC-013,-78,OFC-113
CH-0000344,2026-04-09,PR-00072,SR-102,6,OFC-186
CH-0000345,2026-06-12,PR-02626,CV-020,9,OFC-207
CH-0000346,2026-03-30,PR-01943,CV-003,-62,OFC-158
CH-0000347,2026-05-29,PR-01877,NW-071,-20,OFC-151
CH-0000348,2026-03-07,PR-01197,CV-021,-49,OFC-193
CH-0000349,2026-04-23,PR-00074,PR-111,-31,OFC-249
CH-0000350,2026-02-25,PR-00417,NW-072,-12,OFC-204
CH-0000351,2026-01-18,PR-00242,TR-062,7,OFC-156
CH-0000352,2026-03-07,PR-02795,EM-030,12,OFC-187
CH-0000353,2026-05-09,PR-02418,TR-061,-43,OFC-174
CH-0000354,2026-01-08,PR-02382,SC-012,-12,OFC-136
CH-0000355,2026-06-10,PR-02105,NW-070,16,OFC-229
CH-0000356,2026-02-13,PR-02174,PR-111,-29,OFC-149
CH-0000357,2026-06-16,PR-01043,CV-001,6,OFC-194
CH-0000358,2026-02-21,PR-02306,HE-051,-20,OFC-220
CH-0000359,2026-02-22,PR-01171,CL-091,17,OFC-215
CH-0000360,2026-04-07,PR-02817,CL-091,17,OFC-146
CH-0000361,2026-05-08,PR-02664,NW-070,17,OFC-113
CH-0000362,2026-05-18,PR-00814,SC-012,-12,OFC-175
CH-0000363,2026-03-26,PR-01185,SR-101,-36,OFC-161
CH-0000364,2026-04-15,PR-00875,SR-102,6,OFC-118
CH-0000365,2026-02-16,PR-00005,EM-030,10,OFC-205
CH-0000366,2026-04-15,PR-02120,HE-050,7,OFC-243
CH-0000367,2026-05-14,PR-01822,CV-003,-57,OFC-127
CH-0000368,2026-05-30,PR-01487,SC-011,-43,OFC-229
CH-0000369,2026-03-26,PR-01817,CL-091,16,OFC-225
CH-0000370,2026-04-01,PR-01845,CL-091,18,OFC-197
CH-0000371,2026-01-05,PR-02436,SR-102,7,OFC-244
CH-0000372,2026-05-27,PR-00343,NW-071,-20,OFC-221
CH-0000373,2026-06-17,PR-02845,EM-030,12,OFC-128
CH-0000374,2026-01-22,PR-02943,CL-091,16,OFC-136
CH-0000375,2026-03-04,PR-02896,NW-070,13,OFC-176
CH-0000376,2026-03-04,PR-00517,SC-011,-39,OFC-210
CH-0000377,2026-06-14,PR-00601,CL-090,-14,OFC-245
CH-0000378,2026-03-03,PR-02161,HE-051,-17,OFC-173
CH-0000379,2026-04-22,PR-00700,EM-030,9,OFC-109
CH-0000380,2026-05-25,PR-01731,SR-100,-56,OFC-137
CH-0000381,2026-05-09,PR-01750,AP-080,32,OFC-158
CH-0000382,2026-04-23,PR-02338,CL-091,15,OFC-160
CH-0000383,2026-06-17,PR-01274,TR-061,-48,OFC-112
CH-0000384,2026-04-27,PR-01128,CV-003,-57,OFC-192
CH-0000385,2026-04-30,PR-00793,TR-062,4,OFC-101
CH-0000386,2026-02-26,PR-01445,TR-061,-44,OFC-149
CH-0000387,2026-02-25,PR-02674,AP-080,32,OFC-180
CH-0000388,2026-03-31,PR-00714,CL-091,15,OFC-129
CH-0000389,2026-03-30,PR-00470,SC-012,-14,OFC-164
CH-0000390,2026-01-24,PR-00571,NW-071,-22,OFC-116
CH-0000391,2026-06-22,PR-00797,TR-060,1,OFC-126
CH-0000392,2026-06-16,PR-02119,FN-040,3,OFC-167
CH-0000393,2026-05-31,PR-01885,SR-102,7,OFC-204
CH-0000394,2026-06-03,PR-00227,HE-050,9,OFC-206
CH-0000395,2026-05-28,PR-01451,NW-071,-20,OFC-174
CH-0000396,2026-04-09,PR-02560,CV-021,-48,OFC-174
CH-0000397,2026-03-29,PR-01724,SR-102,8,OFC-205
CH-0000398,2026-03-16,PR-00574,SR-102,8,OFC-137
CH-0000399,2026-04-11,PR-01699,SR-101,-39,OFC-101
CH-0000400,2026-04-23,PR-00272,TR-061,-46,OFC-183
CH-0000401,2026-01-12,PR-02678,CV-001,6,OFC-113
CH-0000402,2026-04-21,PR-00755,EM-031,-17,OFC-201
CH-0000403,2026-06-19,PR-00498,TR-062,2,OFC-204
CH-0000404,2026-06-04,PR-01941,CV-001,7,OFC-181
CH-0000405,2026-03-16,PR-02573,CL-090,-15,OFC-119
CH-0000406,2026-05-30,PR-01754,CV-002,-27,OFC-184
CH-0000407,2026-06-16,PR-01495,FN-041,-9,OFC-216
CH-0000408,2026-03-13,PR-01882,TR-062,1,OFC-116
CH-0000409,2026-02-03,PR-00742,HE-050,7,OFC-135
CH-0000410,2026-06-03,PR-02417,SR-102,10,OFC-173
CH-0000411,2026-06-12,PR-00264,EM-031,-19,OFC-209
CH-0000412,2026-02-24,PR-01463,CL-091,17,OFC-208
CH-0000413,2026-03-14,PR-01438,SC-012,-18,OFC-228
CH-0000414,2026-06-10,PR-01581,FN-041,-8,OFC-120
